#Sequences	Subjects	Samples	Metadata
100	173	1	RSID,visitno,sex,RUNCENTER,HMPbodysubsite
107	172	1	None
108	171	1	None
109	170	1	None
111	169	1	None
114	168	1	None
115	167	1	None
117	166	1	None
119	165	1	None
120	164	1	None
121	163	1	None
123	162	1	None
126	161	1	None
127	160	1	None
128	159	1	None
129	158	1	None
130	157	1	None
136	156	1	None
137	155	1	None
138	154	1	None
142	153	1	None
149	152	1	None
150	151	1	None
153	150	1	None
159	149	1	None
161	148	1	None
162	147	1	None
163	146	1	None
164	145	1	None
167	144	1	None
170	143	1	None
171	142	1	None
175	141	1	None
181	140	1	None
189	139	1	None
198	138	1	None
200	137	1	None
208	136	1	None
213	135	1	None
215	134	1	None
219	133	1	None
220	132	1	None
221	131	1	None
224	130	1	None
227	129	1	None
229	128	1	None
233	127	1	None
234	126	1	None
238	125	1	None
243	124	1	None
253	123	1	None
256	122	1	None
268	121	1	None
271	120	1	None
272	119	1	None
273	118	1	None
277	117	1	None
281	116	1	None
293	115	1	None
295	114	1	None
297	113	1	None
315	112	1	None
323	111	1	None
324	110	1	None
330	109	1	None
332	108	1	None
334	107	1	None
340	106	1	None
343	105	1	None
345	104	1	None
346	103	1	None
355	102	1	None
362	101	1	None
364	100	1	None
365	99	1	None
370	98	1	None
372	97	1	None
375	96	1	None
378	95	1	None
382	94	1	None
385	93	1	None
390	92	1	None
391	91	1	None
398	90	1	None
403	89	1	None
410	88	1	None
414	87	1	None
415	86	1	None
419	85	1	None
424	84	1	None
433	83	1	None
434	82	1	None
437	81	1	None
439	80	1	None
446	79	1	None
451	78	1	None
458	77	1	None
462	76	1	None
473	75	1	None
476	74	1	None
481	73	1	None
494	72	1	None
497	71	1	None
504	70	1	None
507	69	1	None
509	68	1	None
536	67	1	None
538	66	1	None
541	65	1	None
542	64	1	None
555	63	1	None
560	62	1	None
574	61	1	None
579	60	1	None
612	59	1	None
645	58	1	None
654	57	1	None
681	56	1	None
698	55	1	None
706	54	1	None
709	53	1	None
721	52	1	None
743	51	1	None
752	50	1	None
777	49	1	None
782	48	1	None
784	47	1	None
785	46	1	None
793	45	1	None
794	44	1	None
797	43	1	None
809	42	1	None
817	41	1	None
843	40	1	None
846	39	1	None
849	38	1	None
852	37	1	None
870	36	1	None
920	35	1	None
926	34	1	None
927	33	1	None
963	32	1	None
992	31	1	None
995	30	1	None
998	29	1	None
1008	28	1	None
1061	27	1	None
1098	26	1	None
1111	25	1	None
1196	24	1	None
1224	23	1	None
1231	22	1	None
1297	21	1	None
1424	20	1	None
1463	19	1	None
1472	18	1	None
1522	17	1	None
1532	16	1	None
1600	15	1	None
1607	14	1	None
1611	13	1	None
1656	12	1	None
1661	11	1	None
1769	10	1	None
1899	9	1	None
2121	8	1	None
2261	7	1	None
2420	6	1	None
2755	5	1	None
5063	4	1	None
9847	3	1	None
25509	3	1	RSID,sex,RUNCENTER,HMPbodysubsite
37073	3	1	RSID,RUNCENTER,HMPbodysubsite
