#Sequences	Subjects	Samples	Metadata
228	3	31	BarcodeSequence,BARCODE_READ_GROUP_TAG,AGE,COMMON_NAME,TAXON_ID,BODY_SITE,ENV_BIOME,HOST_SUBJECT_ID,ANONYMIZED_NAME,BODY_HABITAT,POOL_MEMBER_NAME,ENV_MATTER,ENV_FEATURE,BODY_PRODUCT,AGE_IN_YEARS
268	3	30	None
459	3	29	None
545	3	28	None
607	3	27	None
690	3	26	None
708	3	25	None
715	3	24	None
791	3	23	None
797	3	22	None
903	3	21	None
904	3	20	None
906	3	19	None
925	3	18	None
939	3	17	None
943	3	16	None
952	3	15	None
962	3	14	None
976	3	13	None
995	3	12	None
1011	3	11	None
1013	3	10	None
1016	3	9	None
1018	3	8	None
1029	3	7	None
1033	3	6	None
1038	3	5	None
1059	3	4	None
1077	3	3	None
1087	3	2	None
1088	3	1	None
1097	2	12	None
1118	2	12	None
1142	2	11	None
1152	2	10	None
1180	2	9	None
1181	2	8	None
1192	2	7	None
1266	2	6	None
1275	2	5	None
1285	2	4	None
1329	2	3	None
1347	2	2	None
1521	2	2	BarcodeSequence,BARCODE_READ_GROUP_TAG,AGE,HOST_SUBJECT_ID,ANONYMIZED_NAME,POOL_MEMBER_NAME,AGE_IN_YEARS
