#Sequences	Subjects	Samples	Metadata
12455	33	1	common_name,Lean_Obese
12795	32	1	None
13031	31	1	None
13052	30	1	None
13816	29	1	None
15139	28	1	None
15481	27	1	None
15817	26	1	None
16070	25	1	None
17042	24	1	None
19296	23	1	None
20022	22	1	None
21405	21	1	None
21521	20	1	None
22035	19	1	None
22238	18	1	None
22734	17	1	None
23813	16	1	None
24343	15	1	None
24763	14	1	None
24782	13	1	None
25096	12	1	None
25504	11	1	None
27176	10	1	None
28976	9	1	None
28985	8	1	None
28989	7	1	None
30032	6	1	None
30186	5	1	None
33528	4	1	None
33675	3	1	None
