#Sequences	Subjects	Samples	Metadata
384	9	24	ANATOMICAL_SAMPLE_SITE,ANONYMIZED_NAME,BODY_HABITAT,BODY_SITE,COMMON_NAME,COMMON_SAMPLE_SITE,Description_duplicate,HOST_INDIVIDUAL,HOST_SUBJECT_ID,ORIGINAL_SAMPLE_SITE,POOL_MEMBER_NAME,POOL_PROPORTION,SEX,TAXON_ID
389	9	23	None
454	9	22	None
456	9	21	None
494	9	20	None
519	9	19	None
522	9	18	None
553	9	17	None
559	9	16	None
593	9	15	None
622	9	14	None
632	9	13	None
634	9	12	None
645	9	11	None
646	9	10	None
651	9	9	None
685	9	8	None
726	9	7	None
740	9	6	None
749	9	5	None
756	9	4	None
761	9	3	None
763	9	2	None
765	9	1	None
770	8	5	None
771	8	5	None
775	8	4	None
777	8	3	None
779	8	2	None
788	8	1	None
811	7	9	None
815	7	9	None
816	7	8	None
830	7	7	None
834	7	6	None
846	7	5	None
896	7	4	None
922	7	3	None
936	7	2	None
957	7	1	None
962	6	4	None
963	6	4	None
965	6	3	None
973	6	2	None
974	6	1	None
976	5	9	None
977	5	9	None
980	5	8	None
983	5	7	None
1004	5	6	None
1009	5	5	None
1026	5	4	None
1038	5	3	None
1071	5	2	None
1074	5	1	None
1137	4	3	None
1138	4	3	None
1148	4	2	None
1160	4	1	None
1165	3	3	None
1169	3	3	None
1179	3	2	None
1184	3	1	None
1190	2	9	None
1193	2	8	None
1194	2	8	None
1380	2	7	None
1453	2	6	None
1585	2	5	None
1739	2	4	None
1794	2	3	None
2107	2	3	ANATOMICAL_SAMPLE_SITE,ANONYMIZED_NAME,BODY_HABITAT,BODY_SITE,COMMON_NAME,COMMON_SAMPLE_SITE,Description_duplicate,HOST_INDIVIDUAL,ORIGINAL_SAMPLE_SITE,POOL_MEMBER_NAME,POOL_PROPORTION,SEX,TAXON_ID
2112	2	3	ANATOMICAL_SAMPLE_SITE,ANONYMIZED_NAME,BODY_HABITAT,BODY_SITE,COMMON_NAME,COMMON_SAMPLE_SITE,Description_duplicate,HOST_INDIVIDUAL,ORIGINAL_SAMPLE_SITE,POOL_MEMBER_NAME,SEX,TAXON_ID
2467	2	3	ANATOMICAL_SAMPLE_SITE,ANONYMIZED_NAME,BODY_HABITAT,BODY_SITE,COMMON_NAME,COMMON_SAMPLE_SITE,Description_duplicate,HOST_INDIVIDUAL,ORIGINAL_SAMPLE_SITE,POOL_MEMBER_NAME,TAXON_ID
